CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.74996+-1.49064*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.924129+3.17536*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.60603+-2.39095*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.10246+1.50391*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.1411+-0.139709*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.09831+-1.31018*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.68123+6.58264*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.98573+-5.53891*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.32687+-0.368135*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.0993+-4.45971*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.245722+1.2084*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "1.75533+-0.877877*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.45312+2.42827*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.29128+-2.40433*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.4462+-9.60937*x"
3, iterativefit, down_jesPileUpDataMC, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.795075695828"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, -15, 0, "1.4942068776"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.917809720004"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.822626+0.701941*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.56545+-1.12362*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.742261+2.90309*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.53717+-2.26788*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.0012499+1.38242*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.944133+0.132905*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.50082+-1.7706*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.58271+6.47613*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.63414+-5.13393*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.40828+-0.443741*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.21408+-4.5715*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.39188+1.37331*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "1.10212+-0.184318*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.52958+2.52752*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.43589+-2.53026*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.7901+-9.93597*x"
3, iterativefit, up_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.810940916012"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, -15, 0, "1.62657796232"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.985802642652"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.909838+0.560208*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.71407+-1.41628*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.899478+3.14409*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.63372+-2.42702*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.110088+1.51864*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.15103+-0.148186*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.10524+-1.31499*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.65826+6.55916*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.95356+-5.49973*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.49933+-0.556075*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "4.93795+-4.2856*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.316632+1.2866*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "2.08861+-1.22108*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.77002+2.75504*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.41624+-2.52763*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.2597+-9.41902*x"
3, iterativefit, down_jesPileUpPtBB, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.799746605557"
3, iterativefit, up_jesPileUpPtEC1, 0, 0.0, 2.4, 20, 30, -15, 0, "1.55076070276"
3, iterativefit, up_jesPileUpPtEC1, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.948861647465"
